region,year,cases,population,elderly_t3_z,urban_population_z,sex_ratio_z,longterm_hospital_z,clinic_z,general_hospital_z,family_medicine_clinic_z,physicians_per_1000_z,idarea,idtime,idarea_time
충청남도공주시,2017,0,108432,0,-0.4282738244750709,0.0902747950531952,0.4771790279859463,-0.32646949303290945,-0.13972203776624803,-0.2258165488145816,-0.15950992701904212,199,7,2778
충청남도공주시,2018,0,107581,1.2243526392369692,-0.3990270629416566,0.06698654453192195,0.7038257871409949,0.010929692028378582,-0.13972203776624803,0.0916803713415973,-0.15950992701904212,199,8,2779
충청남도공주시,2019,0,106474,1.2243526392369692,-0.3811349264741556,0.005500389727183645,0.4771790279859463,-0.3213573841683445,-0.13972203776624803,0.0916803713415973,-0.15950992701904212,199,9,2780
충청남도공주시,2020,0,104545,1.2243526392369692,-0.3768227502338733,-0.05617004229527081,0.5905024075634706,-0.3213573841683445,-0.13972203776624803,-0.2258165488145816,-0.11621397917054184,199,10,2781
충청남도공주시,2021,0,103145,1.2243526392369692,-0.3687480627658859,-0.16385509222241348,0.2505322688308978,-0.3213573841683445,-0.13972203776624803,-0.2258165488145816,-0.11621397917054184,199,11,2782
충청남도공주시,2022,0,102571,1.2243526392369692,-0.3577375172474243,-0.11801490419672164,0.2505322688308978,-0.33669371076203936,-0.13972203776624803,-0.2258165488145816,-0.15950992701904212,199,12,2783
충청남도공주시,2023,0,102104,1.2243526392369692,-0.34466249444425046,-0.17618086232819205,0.2505322688308978,-0.33669371076203936,-0.13972203776624803,-0.2258165488145816,-0.15950992701904212,199,13,2784
충청남도공주시,2024,0,101285,1.2243526392369692,-0.3281466761665579,-0.15197228868379029,0.2505322688308978,-0.33158160189747443,-0.13972203776624803,-0.2258165488145816,-0.0729180313220416,199,14,2785
충청남도금산군,2011,0,56030,0,-1.1360454535837006,0.477569745867886,-0.3160846290567235,-0.49005697669898846,-0.6817352111089774,-0.5433134689707605,-0.4192856141100434,200,1,2786
충청남도금산군,2012,0,55715,1.2243526392369692,-1.1357013740362487,0.4755205548266993,-0.3160846290567235,-0.48494486783442353,-0.6817352111089774,-0.5433134689707605,-0.33269371841304296,200,2,2787
충청남도금산군,2013,0,55441,1.2243526392369692,-1.133980976298989,0.509759987791661,-0.3160846290567235,-0.48494486783442353,-0.6817352111089774,-0.5433134689707605,-0.33269371841304296,200,3,2788
충청남도금산군,2014,0,55166,1.2243526392369692,-1.128475703539758,0.5164881761437039,-0.3160846290567235,-0.49005697669898846,-0.6817352111089774,-0.5433134689707605,-0.2893977705645427,200,4,2789
충청남도금산군,2015,0,54879,1.2243526392369692,-1.1002611806486997,0.41602140304992774,-0.3160846290567235,-0.47983275896985855,-0.6817352111089774,-0.5433134689707605,-0.2893977705645427,200,5,2790
충청남도금산군,2016,0,54612,1.2243526392369692,-1.0906269533200452,0.30128040478493323,-0.3160846290567235,-0.47983275896985855,-0.6817352111089774,-0.5433134689707605,-0.24610182271604245,200,6,2791
충청남도금산군,2017,1,53894,1.2243526392369692,-1.0854657601082662,0.27885641249368615,-0.3160846290567235,-0.4747206501052936,-0.6817352111089774,-0.5433134689707605,-0.24610182271604245,200,7,2792
충청남도금산군,2018,0,53222,1.2243526392369692,-1.0837453623710065,0.2694600562188618,9.656372773765412,4.770303044938366,5.280409695661046,3.4253980329814757,-0.24610182271604245,200,8,2793
충청남도금산군,2019,0,52257,1.2243526392369692,-1.0789282487066794,0.2059761499852339,-0.3160846290567235,-0.47983275896985855,-0.6817352111089774,3.4253980329814757,-0.24610182271604245,200,9,2794
충청남도금산군,2020,0,51413,1.2243526392369692,-1.074814004226069,0.2760927199486392,-0.3160846290567235,-0.47983275896985855,-0.6817352111089774,-0.5433134689707605,-0.20280587486754215,200,10,2795
충청남도금산군,2021,0,50477,1.2243526392369692,-1.0789282487066794,0.2924426811210352,-0.3160846290567235,-0.47983275896985855,-0.6817352111089774,-0.5433134689707605,-0.20280587486754215,200,11,2796
충청남도금산군,2022,0,50092,1.2243526392369692,-1.0644769077136982,0.3635968894435994,-0.3160846290567235,-0.48494486783442353,-0.6817352111089774,-0.5433134689707605,-0.2893977705645427,200,12,2797
충청남도금산군,2023,0,50093,1.2243526392369692,-1.0366064643700914,0.4288111406659625,-0.3160846290567235,-0.48494486783442353,-0.6817352111089774,-0.5433134689707605,-0.2893977705645427,200,13,2798
충청남도금산군,2024,0,49615,1.2243526392369692,-1.0372946234649951,0.4838943356711819,-0.4294080086342478,-0.48494486783442353,-0.6817352111089774,-0.5433134689707605,-0.2893977705645427,200,14,2799
충청남도논산시,2011,0,127533,0,-0.5659056434558447,-0.05387832416554634,0.2505322688308978,-0.26001207779356483,-0.13972203776624803,0.25042883141968675,-0.20280587486754215,201,1,2800
충청남도논산시,2012,0,126653,0,-0.5555832570322867,-0.14805003671900197,0.2505322688308978,-0.2651241866581298,-0.13972203776624803,0.0916803713415973,-0.11621397917054184,201,2,2801
충청남도논산시,2013,0,125844,0,-0.5400996773969496,-0.05455741687532333,0.3638556484084221,-0.2651241866581298,-0.13972203776624803,-0.06706808873649214,-0.0729180313220416,201,3,2802
충청남도논산시,2014,1,124784,0,-0.5228957000243529,-0.07835665060963362,0.7038257871409949,-0.2753484043872597,-0.13972203776624803,-0.06706808873649214,-0.0729180313220416,201,4,2803
충청남도논산시,2015,0,124232,0,-0.4953693362281982,-0.05819738766381033,0.7038257871409949,-0.2651241866581298,-0.13972203776624803,-0.06706808873649214,-0.02962208347354133,201,5,2804
충청남도논산시,2016,0,123213,0,-0.4747245633810821,0.0020996431372392456,0.7038257871409949,-0.25489996892899985,-0.13972203776624803,-0.06706808873649214,0.01367386437495893,201,6,2805
충청남도논산시,2017,0,122240,1.2243526392369692,-0.4771331202132456,-0.019506059490032323,0.7038257871409949,-0.2497878600644349,-0.13972203776624803,-0.06706808873649214,0.01367386437495893,201,7,2806
충청남도논산시,2018,0,120230,1.2243526392369692,-0.4654344155998797,-0.07646293385887631,-0.4294080086342478,-0.2702362955226948,0.4022911355764814,-0.06706808873649214,0.01367386437495893,201,8,2807
충청남도논산시,2019,0,118842,1.2243526392369692,-0.448918597322187,-0.08531672723101576,0.7038257871409949,-0.2651241866581298,-0.13972203776624803,-0.06706808873649214,0.01367386437495893,201,9,2808
충청남도논산시,2020,0,116675,1.2243526392369692,-0.4364703198877312,-0.09000568146382064,0.5905024075634706,-0.2702362955226948,-0.13972203776624803,-0.38456500889267103,0.01367386437495893,201,10,2809
충청남도논산시,2021,0,114483,1.2243526392369692,-0.4334350176868498,-0.14172005403992,0.4771790279859463,-0.2702362955226948,-0.13972203776624803,-0.2258165488145816,0.05696981222345899,201,11,2810
충청남도논산시,2022,0,112617,1.2243526392369692,-0.4251771085480033,-0.1263646308903216,0.4771790279859463,-0.26001207779356483,-0.13972203776624803,-0.2258165488145816,0.10026576007195924,201,12,2811
충청남도논산시,2023,0,110423,1.2243526392369692,-0.4255211880954554,-0.09304210270237422,0.4771790279859463,-0.2702362955226948,-0.13972203776624803,-0.2258165488145816,0.10026576007195924,201,13,2812
충청남도논산시,2024,0,108529,1.2243526392369692,-0.421392233526032,-0.014336728983132593,0.4771790279859463,-0.2753484043872597,-0.13972203776624803,-0.2258165488145816,0.10026576007195924,201,14,2813
충청남도당진시,2011,0,150219,0,-0.5917116095147398,1.370094236407529,-0.542731388211772,-0.29579683984551963,-0.13972203776624803,-0.38456500889267103,-0.549173457655544,202,1,2814
충청남도당진시,2012,0,155104,0,-0.5552391774848346,1.4805976363405853,-0.542731388211772,-0.2804605132518247,-0.13972203776624803,-0.5433134689707605,-0.5058775098070438,202,2,2815
충청남도당진시,2013,0,159615,0,-0.5431963933240171,1.567539282800983,-0.4294080086342478,-0.2651241866581298,-0.13972203776624803,-0.5433134689707605,-0.5058775098070438,202,3,2816
충청남도당진시,2014,0,162844,0,-0.5469812683459884,1.7621548736982435,-0.4294080086342478,-0.26001207779356483,-0.13972203776624803,-0.5433134689707605,-0.549173457655544,202,4,2817
충청남도당진시,2015,0,165122,0,-0.5418200751342092,1.9245852908591232,-0.3160846290567235,-0.25489996892899985,-0.13972203776624803,-0.38456500889267103,-0.5058775098070438,202,5,2818
충청남도당진시,2016,0,166630,0,-0.5228957000243529,2.001890401662093,-0.3160846290567235,-0.26001207779356483,-0.13972203776624803,-0.38456500889267103,-0.5058775098070438,202,6,2819
충청남도당진시,2017,0,167439,0,-0.5160141090753141,2.1162339096839498,-0.20276124947919927,-0.24467575119986992,-0.13972203776624803,-0.38456500889267103,-0.4625815619585435,202,7,2820
충청남도당진시,2018,0,167770,0,-0.4891759043740634,2.2359528727659264,-0.3160846290567235,-0.48494486783442353,-0.6817352111089774,-0.5433134689707605,-0.4625815619585435,202,8,2821
충청남도당진시,2019,0,167042,0,-0.47816535885560146,2.376842551594889,-0.20276124947919927,-0.24467575119986992,-0.13972203776624803,-0.5433134689707605,-0.4625815619585435,202,9,2822
충청남도당진시,2020,0,166249,0,-0.466076079569616,2.5559814973087303,-0.20276124947919927,-0.25489996892899985,-0.13972203776624803,-0.38456500889267103,-0.4625815619585435,202,10,2823
충청남도당진시,2021,0,167092,0,-0.4389402904460809,2.720526451989231,-0.20276124947919927,-0.26001207779356483,-0.13972203776624803,-0.38456500889267103,-0.4625815619585435,202,11,2824
충청남도당진시,2022,0,168253,0,-0.4176073585040608,2.7402688235031865,-0.20276124947919927,-0.25489996892899985,-0.13972203776624803,-0.38456500889267103,-0.4192856141100434,202,12,2825
충청남도당진시,2023,0,170302,0,-0.3776941309996365,2.8981856427764434,-0.20276124947919927,-0.24467575119986992,-0.13972203776624803,-0.38456500889267103,-0.4192856141100434,202,13,2826
충청남도당진시,2024,0,171931,0,-0.3377809034952121,3.0469670026359132,-0.3160846290567235,-0.23956364233530497,-0.13972203776624803,-0.38456500889267103,-0.4192856141100434,202,14,2827
충청남도보령시,2011,0,106421,0,-0.3088782215092495,0.2884684806933576,-0.3160846290567235,-0.3878147994076891,-0.13972203776624803,-0.38456500889267103,-0.4625815619585435,203,1,2828
충청남도보령시,2012,0,105559,0,-0.3979948242993007,0.3055016773546428,-0.3160846290567235,-0.3827026905431241,-0.13972203776624803,-0.38456500889267103,-0.4192856141100434,203,2,2829
충청남도보령시,2013,0,104938,0,-0.28238409635545064,0.34587459751439165,-0.3160846290567235,-0.37247847281399415,-0.13972203776624803,-0.38456500889267103,-0.4192856141100434,203,3,2830
충청남도보령시,2014,0,104321,0,-0.2785992213334794,0.3219082761457545,-0.3160846290567235,-0.3827026905431241,-0.13972203776624803,-0.38456500889267103,-0.4192856141100434,203,4,2831
충청남도보령시,2015,0,104754,0,-0.27997553952328685,0.3860444703754383,-0.3160846290567235,-0.3827026905431241,-0.13972203776624803,-0.38456500889267103,-0.4192856141100434,203,5,2832
충청남도보령시,2016,0,103873,0,-0.2785992213334794,0.384827097836013,-0.3160846290567235,-0.3827026905431241,-0.13972203776624803,-0.5433134689707605,-0.4192856141100434,203,6,2833
충청남도보령시,2017,0,103198,0,-0.2617393235083343,0.4123207855354973,-0.20276124947919927,-0.3827026905431241,-0.13972203776624803,-0.5433134689707605,-0.4625815619585435,203,7,2834
충청남도보령시,2018,0,101990,1.2243526392369692,-0.25451365301184387,0.39382280092988553,0.4771790279859463,-0.3213573841683445,-0.13972203776624803,-0.2258165488145816,-0.4192856141100434,203,8,2835
충청남도보령시,2019,0,101114,1.2243526392369692,-0.2410945506612184,0.4012056974389352,-0.20276124947919927,-0.3878147994076891,-0.13972203776624803,-0.2258165488145816,-0.4192856141100434,203,9,2836
충청남도보령시,2020,0,100229,1.2243526392369692,-0.22541634415026263,0.491093135959096,-0.3160846290567235,-0.3673663639494292,-0.13972203776624803,-0.38456500889267103,-0.3759896662615431,203,10,2837
충청남도보령시,2021,0,98408,1.2243526392369692,-0.2180412209819387,0.5325812304910765,-0.4294080086342478,-0.37759058167855913,-0.13972203776624803,-0.5433134689707605,-0.33269371841304296,203,11,2838
충청남도보령시,2022,0,97157,1.2243526392369692,-0.2042780390838611,0.4801695116183045,-0.4294080086342478,-0.3827026905431241,-0.13972203776624803,-0.5433134689707605,-0.3759896662615431,203,12,2839
충청남도보령시,2023,0,95772,1.2243526392369692,-0.28513673273506607,0.4445469047750466,-0.4294080086342478,-0.37759058167855913,-0.13972203776624803,-0.38456500889267103,-0.33269371841304296,203,13,2840
충청남도보령시,2024,0,93780,1.2243526392369692,-0.27550250540641186,0.44334990783112,-0.4294080086342478,-0.37247847281399415,-0.13972203776624803,-0.38456500889267103,-0.2893977705645427,203,14,2841
충청남도부여군,2011,0,74004,1.2243526392369692,-1.4763401260136642,-0.13727136387888125,-0.3160846290567235,-0.47983275896985855,-0.6817352111089774,-0.5433134689707605,-0.3759896662615431,204,1,2842
충청남도부여군,2012,0,73259,1.2243526392369692,-1.460512466830875,-0.1406516503002265,-0.3160846290567235,-0.48494486783442353,-0.6817352111089774,-0.5433134689707605,-0.4192856141100434,204,2,2843
충청남도부여군,2013,0,72547,1.2243526392369692,-1.4539749554292885,-0.16459798629387373,-0.3160846290567235,-0.49516908556355343,-0.6817352111089774,-0.5433134689707605,-0.4192856141100434,204,3,2844
충청남도부여군,2014,0,71754,1.2243526392369692,-1.4519104781445766,-0.3169485776818733,-0.20276124947919927,-0.5002811944281185,-0.6817352111089774,-0.5433134689707605,-0.3759896662615431,204,4,2845
충청남도부여군,2015,0,71143,1.2243526392369692,-1.456383512261452,-0.3834431583206091,-0.20276124947919927,-0.5002811944281185,-0.6817352111089774,-0.5433134689707605,-0.3759896662615431,204,5,2846
충청남도부여군,2016,0,70187,1.2243526392369692,-1.4725552509916928,-0.36832761723316354,-0.20276124947919927,-0.5002811944281185,-0.6817352111089774,-0.5433134689707605,-0.33269371841304296,204,6,2847
충청남도부여군,2017,0,69086,1.2243526392369692,-1.476684205561116,-0.4046385003494809,-0.089437869901675,-0.5002811944281185,-0.6817352111089774,-0.5433134689707605,-0.33269371841304296,204,7,2848
충청남도부여군,2018,0,68078,1.2243526392369692,-1.5076513648317904,-0.44913552986792615,-0.20276124947919927,-0.25489996892899985,-0.13972203776624803,-0.38456500889267103,-0.33269371841304296,204,8,2849
충청남도부여군,2019,0,66740,1.2243526392369692,-1.5231349444671272,-0.46012726789138214,-0.089437869901675,-0.5053933032926834,-0.6817352111089774,-0.38456500889267103,-0.2893977705645427,204,9,2850
충청남도부여군,2020,0,65354,1.2243526392369692,-1.5342312755542802,-0.44637278069580544,-0.089437869901675,-0.5053933032926834,-0.6817352111089774,-0.5433134689707605,-0.33269371841304296,204,10,2851
충청남도부여군,2021,0,63774,1.2243526392369692,-1.5485968309785705,-0.3932115336687185,-0.3160846290567235,-0.5002811944281185,-0.6817352111089774,-0.5433134689707605,-0.2893977705645427,204,11,2852
충청남도부여군,2022,0,62343,1.2243526392369692,-1.557198819664869,-0.3346550554118224,-0.3160846290567235,-0.5002811944281185,-0.6817352111089774,-0.5433134689707605,-0.2893977705645427,204,12,2853
충청남도부여군,2023,0,61046,1.2243526392369692,-1.560295535591936,-0.214965355009518,-0.3160846290567235,-0.49516908556355343,-0.6817352111089774,-0.5433134689707605,-0.2893977705645427,204,13,2854
충청남도부여군,2024,0,59550,1.2243526392369692,-1.5633922515190035,-0.23328354685498132,-0.3160846290567235,-0.49005697669898846,-0.6817352111089774,-0.38456500889267103,-0.33269371841304296,204,14,2855
충청남도서산시,2011,0,161489,-1.2243526392369692,-0.4822943134250246,0.7957830494194365,-0.542731388211772,-0.3162452753037795,0.4022911355764814,-0.06706808873649214,-0.5058775098070438,205,1,2856
충청남도서산시,2012,0,163315,0,-0.4564883473661295,0.8261389573510988,-0.4294080086342478,-0.3111331664392145,0.4022911355764814,-0.06706808873649214,-0.5058775098070438,205,2,2857
충청남도서산시,2013,1,165837,0,-0.4248330290005514,0.8927062637409545,-0.4294080086342478,-0.3111331664392145,0.4022911355764814,-0.06706808873649214,-0.5058775098070438,205,3,2858
충청남도서산시,2014,0,167611,0,-0.4196718357887724,0.930785340086823,-0.4294080086342478,-0.3009089487100846,0.4022911355764814,-0.06706808873649214,-0.5058775098070438,205,4,2859
충청남도서산시,2015,0,170099,0,-0.443757404110408,1.0131889576017217,-0.4294080086342478,-0.2855726221163897,0.4022911355764814,-0.06706808873649214,-0.5058775098070438,205,5,2860
충청남도서산시,2016,0,170788,0,-0.4471981995849271,1.0814025229857778,-0.4294080086342478,-0.29579683984551963,0.4022911355764814,-0.2258165488145816,-0.5058775098070438,205,6,2861
충청남도서산시,2017,0,171678,0,-0.443069245015504,1.1470634219216471,-0.4294080086342478,-0.29068473098095465,0.4022911355764814,-0.2258165488145816,-0.4625815619585435,205,7,2862
