"sigungu_code","sigungu_name","sigungu_nm","sido","RR_median","RR_mean","RR_CrI_lower","RR_CrI_upper","Pr_RR_gt_1","elevated_95CrI_flag","exceedance_0_8_flag","exceedance_0_9_flag","island_removed_from_main","total_cases_2011_2024"
"32340","강원도평창군","평창군","강원도",1.0606266212860491,1.11431326944259,0.6676542180239178,1.8727820248624907,0.6012156719419126,FALSE,FALSE,FALSE,FALSE,1
"32030","강원도강릉시","강릉시","강원도",1.0612834782163438,1.113036466038656,0.6614743551626101,1.8630259692645381,0.5996821182350629,FALSE,FALSE,FALSE,FALSE,3
"32050","강원도태백시","태백시","강원도",1.0607229920012016,1.1166152298813659,0.653117261435595,1.9057632045708155,0.5974236727405151,FALSE,FALSE,FALSE,FALSE,1
"37360","경상북도청도군","청도군","경상북도",1.0552059924351953,1.093475512606541,0.6567862661889333,1.7553087955865405,0.5965295054622795,FALSE,FALSE,FALSE,FALSE,1
"38060","경상남도사천시","사천시","경상남도",1.0530948288991435,1.0806847326154057,0.6431767646488739,1.6807819190379207,0.5937798550746359,FALSE,FALSE,FALSE,FALSE,0
"32320","강원도횡성군","횡성군","강원도",1.0562588986465198,1.1122865668774216,0.6600365419348407,1.8923986410542768,0.5931289531000441,FALSE,FALSE,FALSE,FALSE,2
"36360","전라남도보성군","보성군","전라남도",1.056462450010945,1.0961845532659948,0.6295515430412985,1.795585361817783,0.5913972143380284,FALSE,FALSE,FALSE,FALSE,1
"35040","전라북도정읍시","정읍시","전라북도",1.0516437040458442,1.096792502685218,0.6546922998630965,1.8034291627484156,0.5878444820026676,FALSE,FALSE,FALSE,FALSE,2
"11150","서울시양천구","양천구","서울시",1.0459377676121904,1.0783017823011054,0.681778785750536,1.6596197120879876,0.5864748569572393,FALSE,FALSE,FALSE,FALSE,3
"11170","서울시구로구","구로구","서울시",1.0442981011841612,1.0779373056552457,0.6859072318819385,1.662387673544785,0.584109904656462,FALSE,FALSE,FALSE,FALSE,4
"36330","전라남도구례군","구례군","전라남도",1.047207949685104,1.081029237408514,0.6442165039066149,1.716586331995765,0.5830403286727485,FALSE,FALSE,FALSE,FALSE,1
"11160","서울시강서구","강서구","서울시",1.0439745042085355,1.0743288518327956,0.6766295492135687,1.6453076557302695,0.5829090977969833,FALSE,FALSE,FALSE,FALSE,2
"36410","전라남도영암군","영암군","전라남도",1.0466221494336825,1.0813252191524998,0.6410245333955263,1.7229074913182278,0.5781920114645756,FALSE,FALSE,FALSE,FALSE,2
"35360","전라북도순창군","순창군","전라북도",1.0399718602960981,1.073805290125,0.6524267898994296,1.6937098691380617,0.5729160751940277,FALSE,FALSE,FALSE,FALSE,0
"11140","서울시마포구","마포구","서울시",1.0332605094617693,1.0632575896947154,0.6784447569813086,1.6199776140095308,0.5650263473378572,FALSE,FALSE,FALSE,FALSE,1
"37430","경상북도울릉군","울릉군","경상북도",1.043105669873067,1.1054197618045116,0.6017649716693301,1.9779982873053708,0.5637331616809267,FALSE,FALSE,FALSE,TRUE,0
